Gamer Name,Real Name,Country,URL
ashe,Natalie Betts,United States,https://www.hltv.org/player/20455/ashe
ashRRR,Ashar Siddiqui,Pakistan,https://www.hltv.org/player/23748/ashrrr
asran,Mateusz Niewiatowski,Poland,https://www.hltv.org/player/22013/asran
ASTR,Maksims Joniconoks,Latvia,https://www.hltv.org/player/24128/astr
ASTRA,Mayline-Joy Champliaud,France,https://www.hltv.org/player/21849/astra
atarax1a,Joaquin Biglieri,Argentina,https://www.hltv.org/player/20268/atarax1a
AtomiK,Devin Ferrell,United States,https://www.hltv.org/player/18424/atomik
atoom,Konrad Wszołek,Poland,https://www.hltv.org/player/24479/atoom
atoomic,Archie Williams,Australia,https://www.hltv.org/player/23820/atoomic
Attacker,YuanZhang Sheng,China,https://www.hltv.org/player/8552/attacker
aumaN,ZhiHong Liu,China,https://www.hltv.org/player/8604/auman
Aunkere,Eugene Karyat,Russia,https://www.hltv.org/player/14175/aunkere
Aureo,Brennan O’Connell,United States,https://www.hltv.org/player/24327/aureo
aurora,Aurora Lyngdal,Norway,https://www.hltv.org/player/7645/aurora
Aurora,Aric Maharaj,South Africa,https://www.hltv.org/player/24490/aurora
Austin,Austin Meadows,United States,https://www.hltv.org/player/20793/austin
Aut0mat1on,Wang Qiuchen,China,https://www.hltv.org/player/24376/aut0mat1on
Auti,Autumn Ruttig,United States,https://www.hltv.org/player/23520/auti
autimatic,Timothy Ta,United States,https://www.hltv.org/player/8735/autimatic
AverOna,Anastasia Shevchenko,Russia,https://www.hltv.org/player/22029/averona
avid,Arvid Åberg,Sweden,https://www.hltv.org/player/22860/avid
aviva,Valerii Nikolaev,Russia,https://www.hltv.org/player/22982/aviva
aVN,Filip Belojica,Serbia,https://www.hltv.org/player/5351/avn
Avou,Tobias Winberg,Denmark,https://www.hltv.org/player/22811/avou
AW,Andrey Anisimov,Russia,https://www.hltv.org/player/22076/aw
aw3some,Shannon Corran,South Africa,https://www.hltv.org/player/18885/aw3some
AwaykeN,Slaven Lyubenov,Bulgaria,https://www.hltv.org/player/21371/awayken
AwwEzz,Ąžuolas Misevičius,Lithuania,https://www.hltv.org/player/20595/awwezz
awzek,Michalis Napoloni,Greece,https://www.hltv.org/player/14061/awzek
Ax1Le,Sergey Rykhtorov,Russia,https://www.hltv.org/player/16555/ax1le
AxEcHo,Filip Czajka,Poland,https://www.hltv.org/player/21714/axecho
Axed,Tommy Ryan,United States,https://www.hltv.org/player/13176/axed
Axessor,Nikki Sahm,United States,https://www.hltv.org/player/24221/axessor
ayaka,Anna Trofimova,Russia,https://www.hltv.org/player/22933/ayaka
ayakasi,Aleksandr Kononov,Russia,https://www.hltv.org/player/24399/ayakasi
Ayanokin,Ayan Khan,Pakistan,https://www.hltv.org/player/23747/ayanokin
Ayeon,Zhe Yang,China,https://www.hltv.org/player/16008/ayeon
ayeprince,Anton Keplin,Russia,https://www.hltv.org/player/23838/ayeprince
AyeZs,Kyan Blockx,Belgium,https://www.hltv.org/player/22036/ayezs
ayy,Ahmed Mahmoud,Canada,https://www.hltv.org/player/20211/ayy
AZIDOT,Adel Saïch,France,https://www.hltv.org/player/23670/azidot
azizz,Łukasz Kałkowski,Poland,https://www.hltv.org/player/15899/azizz
AZR,Aaron Ward,Australia,https://www.hltv.org/player/8082/azr
AZUWU,Oscar Bell,United Kingdom,https://www.hltv.org/player/22106/azuwu
b0bbzki,Linus Lundqvist,Sweden,https://www.hltv.org/player/9148/b0bbzki
b0denmaster,Jonathan Bodenmalm,Sweden,https://www.hltv.org/player/15501/b0denmaster
b0RUP,Johannes Borup,Denmark,https://www.hltv.org/player/9896/b0rup
b1,Jorge Alberto Treviño Díaz,Mexico,https://www.hltv.org/player/19918/b1
b1elany,Maciej Biliński,Poland,https://www.hltv.org/player/20637/b1elany
B1NGO,XueBing Dai,China,https://www.hltv.org/player/16778/b1ngo
b1st,Vladimir Krasikov,Russia,https://www.hltv.org/player/23637/b1st
b1t,Valeriy Vakhovskiy,Ukraine,https://www.hltv.org/player/18987/b1t
b4rtiN,Bruno Câmara,Brazil,https://www.hltv.org/player/17585/b4rtin
ba6oooy,Butti Almheiri,United Arab Emirates,https://www.hltv.org/player/23537/ba6oooy
Babs,Bruna Nycoly,Brazil,https://www.hltv.org/player/22270/babs
baby4,Dinh-Ngoc Tuan Linh,Vietnam,https://www.hltv.org/player/24430/baby4
BabyRage,Steve Vilca,Peru,https://www.hltv.org/player/21643/babyrage
badger,Willem Clarke,Australia,https://www.hltv.org/player/12760/badger
BaGyZ,Rokas Kelpšas,Lithuania,https://www.hltv.org/player/19981/bagyz
Bajify,Tuvshintugs Tsengel,Mongolia,https://www.hltv.org/player/23846/bajify
bajmi,Wojciech Strzelczyk,Poland,https://www.hltv.org/player/20958/bajmi
BALEROSTYLE,Kevyn Guedes,Brazil,https://www.hltv.org/player/17241/balerostyle
baljs,Bartosz Mikołajewicz,Poland,https://www.hltv.org/player/18069/baljs
BallongIgor,Noah Lindfors,Sweden,https://www.hltv.org/player/23287/ballongigor
bam,Jan Lochner,South Africa,https://www.hltv.org/player/23175/bam
Bambosh,Kacper Szlachta,Poland,https://www.hltv.org/player/23614/bambosh
BaN4na,Ryan Ng,Hong Kong,https://www.hltv.org/player/21394/ban4na
Banjo,Matias Kivistö,Finland,https://www.hltv.org/player/20625/banjo
Bankey21,Jameson Behnke,United States,https://www.hltv.org/player/24446/bankey21
Bart4k,Baatarkhuu Batbold,Mongolia,https://www.hltv.org/player/19957/bart4k
based,Luka S.,United States,https://www.hltv.org/player/22300/based
Basso,Sebastian Aagaard,Denmark,https://www.hltv.org/player/10443/basso
BATSPEED,Dustin Haberstumpf,United States,https://www.hltv.org/player/22545/batspeed
bayon,André Alves,Portugal,https://www.hltv.org/player/23654/bayon
baz,Oleg Kulynych,Ukraine,https://www.hltv.org/player/22688/baz
bb1,Kedar Shinde,India,https://www.hltv.org/player/23865/bb1
BeaKie,Brody Kelly,Canada,https://www.hltv.org/player/20204/beakie
Bear,Thorbjørn Rohde,Denmark,https://www.hltv.org/player/23145/bear
Beast,David Zucker,France,https://www.hltv.org/player/23691/beast
beastik,Sebastian Daňo,Czech Republic,https://www.hltv.org/player/11199/beastik
Beastman,Brett Eastman,United States,https://www.hltv.org/player/20788/beastman
BEASTOFEAST,Zokir Shermatov,Uzbekistan,https://www.hltv.org/player/23229/beastofeast
bebest,Chuxiang Zhou,China,https://www.hltv.org/player/21376/bebest
Beccie,Lukas Bauder Balcells,Denmark,https://www.hltv.org/player/23338/beccie
becker,Calvin Becker,United States,https://www.hltv.org/player/13520/becker
beeb,Luca Lyons,Australia,https://www.hltv.org/player/23963/beeb
beg0d,Rawan Tavares,Brazil,https://www.hltv.org/player/20674/beg0d
BehinDx,Anthony Luscombe,Denmark,https://www.hltv.org/player/21775/behindx
beiji,Jiakai Meng,China,https://www.hltv.org/player/23803/beiji
BeiranZz,Pedro Santos,Portugal,https://www.hltv.org/player/23931/beiranzz
bekker,Tobias Bekker,Denmark,https://www.hltv.org/player/24425/bekker
BELCHONOKK,Andrey Yasinskiy,Russia,https://www.hltv.org/player/19235/belchonokk
ben1337,Ben Smith,United States,https://www.hltv.org/player/13250/ben1337
Benzene,Yash Kumar Singh,India,https://www.hltv.org/player/23325/benzene
BERRY,Danny Krüger,Denmark,https://www.hltv.org/player/921/berry
berzerk,Tobias Bertelsen,Norway,https://www.hltv.org/player/20716/berzerk
Berzius,Ugnius Kavaliauskas,Lithuania,https://www.hltv.org/player/22740/berzius
besi,Besenyei Bálint,Hungary,https://www.hltv.org/player/24157/besi
bestch,Marcel Križan,Slovakia,https://www.hltv.org/player/22710/bestch
betinho,Pedro Umberto,Brazil,https://www.hltv.org/player/21026/betinho
bevve,James Slinn,United Kingdom,https://www.hltv.org/player/20908/bevve
bew,Brandon Roberts,United States,https://www.hltv.org/player/16318/bew
bezymecc,Vova Slobodian,Ukraine,https://www.hltv.org/player/24192/bezymecc
bfr,Bjørnar Fauske Røn,Norway,https://www.hltv.org/player/16928/bfr
Bhavi,Bhavesh Sejwani,India,https://www.hltv.org/player/23323/bhavi
BiBiAhn,Vivienne Quach,Australia,https://www.hltv.org/player/18641/bibiahn
Bibu,Bebu Aadil,Iraq,https://www.hltv.org/player/18163/bibu
bichop,Marcos Bianchi,Argentina,https://www.hltv.org/player/20011/bichop
Bigun007,Connor Suddons,United Kingdom,https://www.hltv.org/player/22487/bigun007
biguzera,Rodrigo Bittencourt,Brazil,https://www.hltv.org/player/18141/biguzera
bin96,Fabio Augusto,Brazil,https://www.hltv.org/player/23827/bin96
BiNoX,Jérémy Chiasson,Canada,https://www.hltv.org/player/23692/binox
BioN,,Brazil,https://www.hltv.org/player/23998/bion
birdfromsky,Thomas Due-Frederiksen,Denmark,https://www.hltv.org/player/13718/birdfromsky
Biuckmt,Ke Liu,China,https://www.hltv.org/player/19060/biuckmt
bizinha,Bruna Marvila,Brazil,https://www.hltv.org/player/16340/bizinha
bizkit,Justin Foster,Australia,https://www.hltv.org/player/23626/bizkit
BK1,Nicolas Cespedes,Argentina,https://www.hltv.org/player/19872/bk1
bks,Bruno Kyu,Brazil,https://www.hltv.org/player/21919/bks
bl1x1,David Stepanyants,Russia,https://www.hltv.org/player/22803/bl1x1
BlacKi,Pascal Busch,Germany,https://www.hltv.org/player/24256/blacki
blacktear5,Piotr Kasiński,Poland,https://www.hltv.org/player/20109/blacktear5
Blackygaan,Baasanjav Tseden-Ochir,Mongolia,https://www.hltv.org/player/23847/blackygaan
bladE,Galder Barcena,Spain,https://www.hltv.org/player/4360/blade
blameF,Benjamin Bremer,Denmark,https://www.hltv.org/player/15165/blamef
blaq,Andreas Elversøe,Denmark,https://www.hltv.org/player/13171/blaq
bLazE,Josh Saunders,South Africa,https://www.hltv.org/player/13557/blaze
blazevlone,Arseny Filippov,Russia,https://www.hltv.org/player/23984/blazevlone
BledarD,Bledar Dula,Kosovo,https://www.hltv.org/player/20434/bledard
blend,Andrew Cannella,United States,https://www.hltv.org/player/24335/blend
blessA,Nick Bryant,United States,https://www.hltv.org/player/21401/blessa
Blick,Brimir Birgisson,Iceland,https://www.hltv.org/player/23536/blick
bLitz,Garidmagnai Byambasuren,Mongolia,https://www.hltv.org/player/20194/blitz
Blizoo,Emil Egelund Rasmussen,Denmark,https://www.hltv.org/player/24101/blizoo
Blizz,Matthew Ibrahim,Australia,https://www.hltv.org/player/24018/blizz
blocker,Yanko Panov,Bulgaria,https://www.hltv.org/player/10697/blocker
Blogg1s,Dominik Janita,Czech Republic,https://www.hltv.org/player/13567/blogg1s
Bloody,Zain Muneer,Pakistan,https://www.hltv.org/player/23956/bloody
BluePho3nix,Maoz Paz,Israel,https://www.hltv.org/player/13618/bluepho3nix
bluewh1te,Lubsan Mulonov,Russia,https://www.hltv.org/player/23302/bluewh1te
BLVCKM4GIC,Daulet Ondassynov,Kazakhstan,https://www.hltv.org/player/21691/blvckm4gic
Blytz,Raul Gligor,Romania,https://www.hltv.org/player/12945/blytz
bnc,Pedro Mendes,Brazil,https://www.hltv.org/player/13287/bnc
bnox,Bartosz Niebisz,Poland,https://www.hltv.org/player/20309/bnox
BnTeT,Hansel Ferdinand,Indonesia,https://www.hltv.org/player/7131/bntet
bobeksde,Jonatan Persson,Sweden,https://www.hltv.org/player/21159/bobeksde
BoBo,Beau Cooper,Australia,https://www.hltv.org/player/24019/bobo
bobz,Pedro Rocha,Brazil,https://www.hltv.org/player/17215/bobz
Bodik,Bogdan Nastych,Ukraine,https://www.hltv.org/player/20933/bodik
bodito,Patrik Boda,Hungary,https://www.hltv.org/player/8733/bodito
bodyy,Alexandre Pianaro,France,https://www.hltv.org/player/8374/bodyy
bogemt,Nikolay Zarovnyaev,Russia,https://www.hltv.org/player/22176/bogemt
bokor,Gabriela Bokor,Brazil,https://www.hltv.org/player/20501/bokor
boltz,Ricardo Prass,Brazil,https://www.hltv.org/player/8568/boltz
BomberZzZ,Noah Cascio,United States,https://www.hltv.org/player/22395/bomberzzz
boN11,Ilya Tarasov,Russia,https://www.hltv.org/player/24032/bon11
bonce,Artem Radomskiy,Ukraine,https://www.hltv.org/player/24207/bonce
bondik,Vladyslav Nechyporchuk,Ukraine,https://www.hltv.org/player/2131/bondik
Bones,Ronan Cooper Trow,Australia,https://www.hltv.org/player/23565/bones
BONJA,Alexander Johansson,Sweden,https://www.hltv.org/player/24218/bonja
BoNo,Muhammad Mustafa,Pakistan,https://www.hltv.org/player/17837/bono
Boombl4,Kirill Mikhailov,Russia,https://www.hltv.org/player/11840/boombl4
bootylord,Kaid Miller,United States,https://www.hltv.org/player/20514/bootylord
bored3m,Jennifer Ivanova,United States,https://www.hltv.org/player/24419/bored3m
BORO,Boris Janoš,Slovakia,https://www.hltv.org/player/23315/boro
BORO37,Nicola Meier,Switzerland,https://www.hltv.org/player/19462/boro37
BOROS,Mohammad Malhas,Jordan,https://www.hltv.org/player/19763/boros
borosto,Stepan Antonov,Russia,https://www.hltv.org/player/23683/borosto
bosko,Francisco Bosco,Argentina,https://www.hltv.org/player/24254/bosko
botirshoT,Khalimbaev Botir,Uzbekistan,https://www.hltv.org/player/24355/botirshot
Botman,Niklas Vestergaard,Denmark,https://www.hltv.org/player/24105/botman
bottle,Lei Mao,China,https://www.hltv.org/player/10168/bottle
Bouchard,Julie Bouchard,Canada,https://www.hltv.org/player/13326/bouchard
boX,Anton Burko,Belarus,https://www.hltv.org/player/13976/box
Boye,Jonas Boye Østergaard,Denmark,https://www.hltv.org/player/21574/boye
bq,Adam Bergqvist,Sweden,https://www.hltv.org/player/17936/bq
br0,Alexander Bro,Denmark,https://www.hltv.org/player/16717/br0
BRACE,Toby Barnes,Australia,https://www.hltv.org/player/12588/brace
brain,Stepan Sivoronov,Russia,https://www.hltv.org/player/5615/brain
bravo,Hammad Barak Ullah,Pakistan,https://www.hltv.org/player/12194/bravo
Brehze,Vincent Cayonte,United States,https://www.hltv.org/player/9136/brehze
Brendinha,Brenda Tamy,Brazil,https://www.hltv.org/player/23148/brendinha
Brens,Kristers Brensons,Latvia,https://www.hltv.org/player/20419/brens
brett,Brett Rhein,United States,https://www.hltv.org/player/14799/brett
Brilliance,Alexander Vysotsky,Belarus,https://www.hltv.org/player/19297/brilliance
Brillo,David Lehrman,Sweden,https://www.hltv.org/player/20437/brillo
brn$,Bruno de Araújo,Brazil,https://www.hltv.org/player/21700/brn
BRNZ1K,Bruno Custodio de Mendonça,Brazil,https://www.hltv.org/player/11733/brnz1k
brnz4n,Breno Poletto,Brazil,https://www.hltv.org/player/20987/brnz4n
brock,Rohit Singh,India,https://www.hltv.org/player/23579/brock
BROJVHS,Broja Ostrofski,Australia,https://www.hltv.org/player/24009/brojvhs
brokeN,Rafael Lopes,Brazil,https://www.hltv.org/player/19975/broken
broky,Helvijs Saukants,Latvia,https://www.hltv.org/player/18053/broky
Brollan,Ludvig Brolin,Sweden,https://www.hltv.org/player/13666/brollan
Brooxsy,Hugo Di Bono,France,https://www.hltv.org/player/21971/brooxsy
brunakiller,Bruna Bonfati,Brazil,https://www.hltv.org/player/22634/brunakiller
